proxy,contractsIn,simContract,level
0xaf1b3e9ef7bb76f3de51c728202d382b8395a1cb,0xb718561d3b7ac5a950cf7ece2a519c274f15348b,0x38c8ef452ed4d6e94700f97dd704cf9b73550fcc,high
0xaf1b3e9ef7bb76f3de51c728202d382b8395a1cb,0xb718561d3b7ac5a950cf7ece2a519c274f15348b,0xdc3f70b6334ad205ee4d1951e5f20eda5b3af513,high
0xaf1b3e9ef7bb76f3de51c728202d382b8395a1cb,0xb718561d3b7ac5a950cf7ece2a519c274f15348b,0x171312e1a3a84d6944d8ef4bbc172572c442e8c6,medium
0xaf1b3e9ef7bb76f3de51c728202d382b8395a1cb,0x38c8ef452ed4d6e94700f97dd704cf9b73550fcc,0xb718561d3b7ac5a950cf7ece2a519c274f15348b,high
0x96d1e9d25bd949b6811e2844aca63cb3cfce68af,0xb1d809dbe0bd0208e57c20e55f5a0a7f617aecce,0x08e09df217c86dbe8b5f15360579bd3c5bccd9e8,medium
0x96d1e9d25bd949b6811e2844aca63cb3cfce68af,0xb1d809dbe0bd0208e57c20e55f5a0a7f617aecce,0x9bebd0e7b7ad080146d92203d59b69eb5087f9de,medium
0x96d1e9d25bd949b6811e2844aca63cb3cfce68af,0x9bebd0e7b7ad080146d92203d59b69eb5087f9de,0xb1d809dbe0bd0208e57c20e55f5a0a7f617aecce,medium
0xd4a4025ac285796a237af820452f569cf9fc92a1,0x01981d869d8559b0d3b807f15ab51260a1f9f4f2,0x29935f54a45f5955ad7bc9d5416f746c3d1b9d69,medium
0xd4a4025ac285796a237af820452f569cf9fc92a1,0x01981d869d8559b0d3b807f15ab51260a1f9f4f2,0x04a2c0258c9c13e4b3a56affe6804cc6c5c1587a,medium
0xd4a4025ac285796a237af820452f569cf9fc92a1,0x04a2c0258c9c13e4b3a56affe6804cc6c5c1587a,0x01981d869d8559b0d3b807f15ab51260a1f9f4f2,medium
0xd4a4025ac285796a237af820452f569cf9fc92a1,0x85409605ff5d53b27b56d1e2584c81b0dca7f64d,0xb96078c516e3cda9b815622df673460034e33100,high
0x2493fc5c0c3b8ea49e04f5379022afeabe65b7e9,0xd0a2cf0e34e47360dab3ac09d23541bfa66df3c7,0x2aceb0ff1a5630489bb177b0fd274379d1abde4e,medium
0x2493fc5c0c3b8ea49e04f5379022afeabe65b7e9,0xd0a2cf0e34e47360dab3ac09d23541bfa66df3c7,0xe989f941879ffb84c4083c3ebaa109c7eea17ae6,medium
0x2493fc5c0c3b8ea49e04f5379022afeabe65b7e9,0xd0a2cf0e34e47360dab3ac09d23541bfa66df3c7,0x863597b22a2de9dcb90fc17d93e2630495f42e62,medium
0x2493fc5c0c3b8ea49e04f5379022afeabe65b7e9,0xd0a2cf0e34e47360dab3ac09d23541bfa66df3c7,0x47cb06f40422b9d6027313f92858f647a88e81cb,medium
0x2493fc5c0c3b8ea49e04f5379022afeabe65b7e9,0xd0a2cf0e34e47360dab3ac09d23541bfa66df3c7,0x7b1a10dcb9f715bda68fe11fbb57183b7bfb61e1,medium
0x2493fc5c0c3b8ea49e04f5379022afeabe65b7e9,0x2aceb0ff1a5630489bb177b0fd274379d1abde4e,0xd0a2cf0e34e47360dab3ac09d23541bfa66df3c7,medium
0x9e4fae1c7ac543a81e4e2a5486a0ddaad8194bda,0x4e6d068f43ae28ce4a7bc97d9dc5fdfb8a55f008,0x3beb54fe1b0b0569d71f4ff56f3b9c9e4cf2f3f0,low
0x9e4fae1c7ac543a81e4e2a5486a0ddaad8194bda,0x3beb54fe1b0b0569d71f4ff56f3b9c9e4cf2f3f0,0x4e6d068f43ae28ce4a7bc97d9dc5fdfb8a55f008,low
0xba3eeeb0cf1584ee565f34fcaba74d3e73268c0b,0xe2b8220b3cc9b64d24801fc57355d54ec82d82f2,0x928155ac28913c1a9e2c323f88d4fe634a91a287,low
0xba3eeeb0cf1584ee565f34fcaba74d3e73268c0b,0x3c2e6b09bb8d96ff02757e205ec205d0122f1c9e,0xe2b8220b3cc9b64d24801fc57355d54ec82d82f2,high
0xba3eeeb0cf1584ee565f34fcaba74d3e73268c0b,0x3c2e6b09bb8d96ff02757e205ec205d0122f1c9e,0x41f77eb9c021425bbe65206343524e8006d1c753,medium
0xba3eeeb0cf1584ee565f34fcaba74d3e73268c0b,0x3c2e6b09bb8d96ff02757e205ec205d0122f1c9e,0xdfe38c627f1a95f488eb24e403067fe171e0b31e,medium
0xba3eeeb0cf1584ee565f34fcaba74d3e73268c0b,0xe2b8220b3cc9b64d24801fc57355d54ec82d82f2,0x3c2e6b09bb8d96ff02757e205ec205d0122f1c9e,high
