proxy,delegate_transaction,updated_on,initiator,contract_address,contract_name,first_delegate_call,last_delegate_call,owner,created_on,first_transaction
0x0393295e334866f0857f0b2ebd78512af9457f55,0x02d97c0833afb2203acf497cb0cd4371c90c8d749df887f7d6955c221380a1ae,2020-09-11 04:10:21 UTC,0x4735581201f4cad63cca0716ab4ac7d6d9cfb0ed,0x7b6c0726c8d2da330bf5c65c6889ee268cd19466,LidSimplifiedPresale,2020-09-11 04:10:21 UTC,2020-09-11 09:13:54 UTC,0x4735581201f4cad63cca0716ab4ac7d6d9cfb0ed,2020-09-11 04:10:16 UTC,
0x0393295e334866f0857f0b2ebd78512af9457f55,0x71e485ab298ef0b96bef67f4338d4bb3710a9c4b5d3adf23cfb2f655232c8275,2020-09-11 09:21:41 UTC,0x4735581201f4cad63cca0716ab4ac7d6d9cfb0ed,0x72b6aca6158ae91c312445bc7cba6d2a79206c3e,LidSimplifiedPresale,2020-09-11 09:22:55 UTC,2020-09-11 09:22:55 UTC,0x4735581201f4cad63cca0716ab4ac7d6d9cfb0ed,2020-09-11 09:19:56 UTC,
0x0393295e334866f0857f0b2ebd78512af9457f55,0x3dcfb6ebd8ce638a17bc3426c368cb33b598279a4d46ba1dde2f4b40e59de4bc,2020-09-11 09:27:03 UTC,0x4735581201f4cad63cca0716ab4ac7d6d9cfb0ed,0x84078967e5a353fc1c73366887010a8eef8387dc,LidSimplifiedPresale,2020-09-11 09:28:11 UTC,2020-10-06 04:27:01 UTC,0x4735581201f4cad63cca0716ab4ac7d6d9cfb0ed,2020-09-11 09:26:40 UTC,
0x0393295e334866f0857f0b2ebd78512af9457f55,0x2af3a9a6708920339311eeb44fc163233ac7671d30c27af9b3e93968adeb9c1a,2020-10-23 21:20:42 UTC,0x4735581201f4cad63cca0716ab4ac7d6d9cfb0ed,0x36d3a198e65fae6700274cb9fa57fa5a8903e612,LidTimeLock,2020-10-23 21:21:25 UTC,2020-10-23 21:21:25 UTC,0x4735581201f4cad63cca0716ab4ac7d6d9cfb0ed,2020-10-23 21:20:27 UTC,
0x0393295e334866f0857f0b2ebd78512af9457f55,0x6780f0a035d99ff299c830aad83f0872dec5501663faa291b369ad0075023b94,2020-10-23 21:20:42 UTC,0x4735581201f4cad63cca0716ab4ac7d6d9cfb0ed,0xef482808f1a71546c703ba0597dd7e9bd3b948bb,LidTimeLock,2020-10-23 21:22:39 UTC,2021-01-29 18:02:59 UTC,0x4735581201f4cad63cca0716ab4ac7d6d9cfb0ed,2020-10-23 21:20:27 UTC,
0x03ef3f37856bd08eb47e2de7abc4ddd2c19b60f2,0x784495b81b19b3d4589f42ec677dcec498eb4c164964ad92c3986bcb9ee2979f,2020-05-26 06:13:32 UTC,0x8bbaf686d18c00a01b7f99767241a874fd8c7d42,0x2db8457c27f797cb444cc3da4a9a0c2829f81014,XSwap,2020-05-26 06:18:54 UTC,2020-07-15 14:18:32 UTC,0x377598d56030b2d6a9e83f20d44ba3b10ddfa2d5,2020-05-26 02:32:32 UTC,2020-06-20 03:38:49 UTC
0x03ef3f37856bd08eb47e2de7abc4ddd2c19b60f2,0x7cb5e19759677cf1a4ee84fa344d603f1709a7befea220f8d30c7f6d356e2b54,2020-07-15 14:23:41 UTC,0x8bbaf686d18c00a01b7f99767241a874fd8c7d42,0x8313fd80b4ba0d603918af3fab9a88daa56796b0,XSwap,2020-07-15 14:53:14 UTC,2021-11-24 05:43:39 UTC,0x377598d56030b2d6a9e83f20d44ba3b10ddfa2d5,2020-07-15 12:59:44 UTC,
0x040007b1804ad78a97f541bebed377dcb60e4138,0x4086e4d7c902cf382a6f47658c0fc8c96e90b019e473397679fb3adf14f44af5,2020-09-08 23:08:29 UTC,0xcff39f920672a2556d9ce216280edae446e4feb5,0x8582f510817731be46e6a8380cf4eeffc05aa5f1,Bridge_v1,2020-09-08 23:09:20 UTC,2021-07-23 10:05:23 UTC,0x9c95b0ef2d3e1d9ca479524ba738c87be28c1585,2020-09-04 02:57:36 UTC,
0x040007b1804ad78a97f541bebed377dcb60e4138,0xcd56e31aa8900760a1394f6e623e90a9839c54685f50f1ebb7be739b7ce5681f,2021-07-23 13:46:13 UTC,0x49df55fff9f7cd43cb380a73069675e33b577fbc,0x9f29f9bda2052884d39f0f032b68aaa14fc363d8,Bridge,2021-07-23 13:49:22 UTC,2022-07-02 14:05:02 UTC,0x9c95b0ef2d3e1d9ca479524ba738c87be28c1585,2021-07-21 19:54:31 UTC,
0x050cb4382f8db87f3ed6bd1c041a1cd1ec027373,0x1d271058b1377d45bce7061a1ccea29177cd8d14bcace7f9c16fd184cede0879,2021-02-26 05:55:39 UTC,0xe4f3351ae52a007f5bc26bfd2c0e3583fd278d46,0x0b1d955173623f5ad616ac7ba69ca174e912aab0,ecoLockManager,2021-02-26 06:03:24 UTC,2021-03-02 10:33:42 UTC,0xe4f3351ae52a007f5bc26bfd2c0e3583fd278d46,2021-02-26 05:55:33 UTC,
0x050cb4382f8db87f3ed6bd1c041a1cd1ec027373,0xc4dc1f142a39a6845516d505dacfc82fa7f6d3f225af92dba5874a8f82bf2966,2021-03-04 06:15:47 UTC,0xe4f3351ae52a007f5bc26bfd2c0e3583fd278d46,0x7bfcf20d3c066ebcd9473355f58d14e3aaced0e0,ecoLockManager,2021-03-04 07:16:25 UTC,2021-05-26 20:51:40 UTC,0xe4f3351ae52a007f5bc26bfd2c0e3583fd278d46,2021-03-04 06:15:44 UTC,
0x050cb4382f8db87f3ed6bd1c041a1cd1ec027373,0x87ac749c147372916aa2792315c35a56764c2b6c40e4369bf9b2f319ca0c9ea6,2021-05-31 06:19:42 UTC,0xe4f3351ae52a007f5bc26bfd2c0e3583fd278d46,0x946b149152b3330e99945018582bef226aee12ed,ecoLockManager,2021-05-31 18:26:56 UTC,2022-06-21 04:40:10 UTC,0xe4f3351ae52a007f5bc26bfd2c0e3583fd278d46,2021-05-31 06:18:30 UTC,
0x05bab9017705d32a8a0bb2ec06a78fa0fa20f1a4,0xc1985182b68d47e1f0a242daa2e6e3e9f9f9e56100b6e3fb570fb621d865d576,2021-03-06 09:36:30 UTC,0xb64a5630283ccbe0c3cbf887a9f7b9154aef38c3,0x653498a9e1c98eedaa9733d2d28617ff0e43dc18,Implementation,2021-03-06 09:36:30 UTC,2021-03-10 00:04:36 UTC,0xbdc9511e409583c4fa876eb8a72e8354c8d20427,2021-03-03 11:52:50 UTC,
0x05bab9017705d32a8a0bb2ec06a78fa0fa20f1a4,0x08cc548124acdd4fff57a52744e0f58bde7ae06c63ff87150d2cab63da39202c,2021-03-10 00:04:36 UTC,0xb64a5630283ccbe0c3cbf887a9f7b9154aef38c3,0x4102109981d59c1491fc0faa2d40ba93a4d63fcb,Implementation,2021-03-10 00:04:36 UTC,2021-03-18 09:50:36 UTC,0xbdc9511e409583c4fa876eb8a72e8354c8d20427,2021-03-08 03:45:40 UTC,
0x05bab9017705d32a8a0bb2ec06a78fa0fa20f1a4,0x768144c150a34e1fbaa7c8a9758ab8eabe477b61545d0eb30f29f8f1749b308a,2021-03-18 09:50:36 UTC,0xb64a5630283ccbe0c3cbf887a9f7b9154aef38c3,0x525a0cd0c00477744e18881d4ba59674556f2743,Implementation,2021-03-18 09:50:36 UTC,2022-07-03 04:35:15 UTC,0xbdc9511e409583c4fa876eb8a72e8354c8d20427,2021-03-16 07:57:16 UTC,
0x061f34ab44f894ad2c98c6daec8be7950e02ff21,0x3a77cbc0be754953f379349df301fa3f33f5cb4cb5f856f24ac61ea4470c2bc3,2021-10-23 04:30:04 UTC,0xf3fd9cde0dc0675bc18dd99210b56d40c4286542,0xd7affe4e3d62ec43ac07790633dbc55603d9a3e8,AirDropV2,2021-10-23 04:36:20 UTC,2021-12-15 11:56:29 UTC,0xf3fd9cde0dc0675bc18dd99210b56d40c4286542,2021-10-23 04:29:47 UTC,
0x061f34ab44f894ad2c98c6daec8be7950e02ff21,0x9c6c66e3c3f45d4f5bf07860e46c6564d4c41aeabb8a3c732cb868a69b00d90f,2021-12-16 08:26:05 UTC,0xf3fd9cde0dc0675bc18dd99210b56d40c4286542,0x8d83859d711285adbbe857204cc32c9f4d3b4493,AirDropV2,2021-12-16 08:29:55 UTC,2022-07-04 12:51:47 UTC,0xf3fd9cde0dc0675bc18dd99210b56d40c4286542,2021-12-16 08:25:57 UTC,
0x06879a9126095901cf81c2884adbd2b65ac8e845,0x7ea42784891b45af094df3c6ffd7b1797091517cb7455b83e034e993eb4a27bb,2021-05-09 23:37:30 UTC,0x27ba8ea487b3654e4cf2968fa102802b5b181b42,0x21a154281f95a88dfd8bec1c67b6c64b1f1b81c0,TokenVestingV2,2021-05-09 23:37:56 UTC,2021-05-17 03:58:15 UTC,0x27ba8ea487b3654e4cf2968fa102802b5b181b42,2021-05-09 23:37:13 UTC,
0x06879a9126095901cf81c2884adbd2b65ac8e845,0x36e91cd5eabeaea3b3f761194cc96ef70ea9c6321161eefb6197314029500488,2021-05-17 09:59:19 UTC,0x27ba8ea487b3654e4cf2968fa102802b5b181b42,0x883e9e332f915a99aa2d32753434da0f984e8487,TokenVestingV3,2021-05-17 10:49:17 UTC,2021-09-05 23:30:40 UTC,0x27ba8ea487b3654e4cf2968fa102802b5b181b42,2021-05-17 09:58:57 UTC,
0x06879a9126095901cf81c2884adbd2b65ac8e845,0x717a5299ff28aac4e73aba43ce003a480727fc4a099a4674b8b830e4ef323d3a,2021-09-08 13:31:00 UTC,0x27ba8ea487b3654e4cf2968fa102802b5b181b42,0xb07050fd0dd0e0bee9a93d8920b282afd766e445,TokenVestingV3,2021-09-08 13:34:57 UTC,2021-11-01 21:11:12 UTC,0x27ba8ea487b3654e4cf2968fa102802b5b181b42,2021-09-08 13:23:11 UTC,
0x06879a9126095901cf81c2884adbd2b65ac8e845,0xacf603bc021255457029a2dbded20fcba8b839028181ed63c7a23233b5beb727,2021-11-08 16:06:24 UTC,0x27ba8ea487b3654e4cf2968fa102802b5b181b42,0xa32f273b32d8143f384e63c4398ab76be59b4243,TokenVestingV3,2021-11-08 17:08:03 UTC,2021-11-08 17:08:03 UTC,0x27ba8ea487b3654e4cf2968fa102802b5b181b42,2021-11-08 15:59:49 UTC,
