IDPairFiles,proxy,contract Pred,contract Succ,predecessor file,successor file,file similarity,LOC similarity
PF1,0x0393295e334866f0857f0b2ebd78512af9457f55,0x7b6c0726c8d2da330bf5c65c6889ee268cd19466,0x72b6aca6158ae91c312445bc7cba6d2a79206c3e,LidSimplifiedPresale.sol,LidSimplifiedPresale.sol,0.999292567978239,0.9990495441828088
PF2,0x0393295e334866f0857f0b2ebd78512af9457f55,0x72b6aca6158ae91c312445bc7cba6d2a79206c3e,0x84078967e5a353fc1c73366887010a8eef8387dc,LidSimplifiedPresale.sol,LidSimplifiedPresale.sol,0.9994023309094532,0.9991970881061984
PF3,0x0393295e334866f0857f0b2ebd78512af9457f55,0x36d3a198e65fae6700274cb9fa57fa5a8903e612,0xef482808f1a71546c703ba0597dd7e9bd3b948bb,LidTimeLock.sol,LidTimeLock.sol,1.0,1.0
PF4,0x03ef3f37856bd08eb47e2de7abc4ddd2c19b60f2,0x2db8457c27f797cb444cc3da4a9a0c2829f81014,0x8313fd80b4ba0d603918af3fab9a88daa56796b0,XSwap.sol,XSwap.sol,0.7356717102246676,0.7480540323659222
PF5,0x050cb4382f8db87f3ed6bd1c041a1cd1ec027373,0x0b1d955173623f5ad616ac7ba69ca174e912aab0,0x7bfcf20d3c066ebcd9473355f58d14e3aaced0e0,ecoLockManager.sol,ecoLockManager.sol,0.9998771778990402,0.9998771778990402
PF6,0x050cb4382f8db87f3ed6bd1c041a1cd1ec027373,0x7bfcf20d3c066ebcd9473355f58d14e3aaced0e0,0x946b149152b3330e99945018582bef226aee12ed,ecoLockManager.sol,ecoLockManager.sol,0.9987413329590956,0.9987413329590956
PF7,0x05bab9017705d32a8a0bb2ec06a78fa0fa20f1a4,0x653498a9e1c98eedaa9733d2d28617ff0e43dc18,0x4102109981d59c1491fc0faa2d40ba93a4d63fcb,Implementation.sol,Implementation.sol,0.9996262261605222,0.9994725874089893
PF8,0x05bab9017705d32a8a0bb2ec06a78fa0fa20f1a4,0x4102109981d59c1491fc0faa2d40ba93a4d63fcb,0x525a0cd0c00477744e18881d4ba59674556f2743,Implementation.sol,Implementation.sol,0.9944700083291232,0.990960059666178
PF9,0x061f34ab44f894ad2c98c6daec8be7950e02ff21,0xd7affe4e3d62ec43ac07790633dbc55603d9a3e8,0x8d83859d711285adbbe857204cc32c9f4d3b4493,@openzeppelin/contracts-upgradeable/utils/StringsUpgradeable.sol,@openzeppelin/contracts-upgradeable/utils/StringsUpgradeable.sol,1.0,1.0
PF10,0x061f34ab44f894ad2c98c6daec8be7950e02ff21,0xd7affe4e3d62ec43ac07790633dbc55603d9a3e8,0x8d83859d711285adbbe857204cc32c9f4d3b4493,@openzeppelin/contracts-upgradeable/utils/ContextUpgradeable.sol,@openzeppelin/contracts-upgradeable/utils/ContextUpgradeable.sol,1.0,1.0
PF11,0x061f34ab44f894ad2c98c6daec8be7950e02ff21,0xd7affe4e3d62ec43ac07790633dbc55603d9a3e8,0x8d83859d711285adbbe857204cc32c9f4d3b4493,@openzeppelin/contracts-upgradeable/token/ERC721/extensions/IERC721MetadataUpgradeable.sol,@openzeppelin/contracts-upgradeable/token/ERC721/extensions/IERC721MetadataUpgradeable.sol,1.0,1.0
